Branch,City,Customer Type,Gender,Product,Unit Price,Quantity,Tax 5%,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,3/5/2019,18:17,Ewallet,145.56,4.761904762,7.278,4
C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,3/9/2019,18:21,Cash,455.46,4.761904762,22.773,8.7
A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4
C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4
C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,1/9/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6
A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7
C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,3/5/2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6
C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,1/22/2019,18:56,Cash,101.9,4.761904762,5.095,6
C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,1/26/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4
C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,1/23/2019,18:37,Ewallet,154,4.761904762,7.7,6.6
C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3
C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,3/9/2019,10:17,Cash,244.55,4.761904762,12.2275,6.6
C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,3/5/2019,14:31,Ewallet,581.42,4.761904762,29.071,4
C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,3/25/2019,10:23,Cash,382.6,4.761904762,19.13,9.9
A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,1/2/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7
B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,2/27/2019,17:55,Cash,461.94,4.761904762,23.097,6.1
C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,1/23/2019,10:25,Cash,189.52,4.761904762,9.476,7.1
C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2
A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,1/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1
B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,3/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6
C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,2/6/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6
A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2
B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,3/29/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1
C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,2/9/2019,13:11,Cash,74.7,4.761904762,3.735,4.1
A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3
B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,3/5/2019,18:14,Cash,496.2,4.761904762,24.81,7.4
C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,3/26/2019,19:20,Cash,48.71,4.761904762,2.4355,4.1
C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,3/1/2019,13:22,Cash,706.95,4.761904762,35.3475,7.2
C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,2/1/2019,11:27,Cash,207.63,4.761904762,10.3815,4.9
A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,3/28/2019,16:44,Cash,349.56,4.761904762,17.478,9.9
B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,3/19/2019,18:19,Cash,212.45,4.761904762,10.6225,8
A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,1/12/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3
C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,1/5/2019,20:54,Credit card,164.28,4.761904762,8.214,7.9
A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,3/22/2019,20:19,Cash,372.78,4.761904762,18.639,7.4
C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,3/24/2019,10:43,Cash,305.82,4.761904762,15.291,4.2
C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,3/3/2019,14:30,Cash,819.7,4.761904762,40.985,9.2
B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,2/5/2019,11:32,Ewallet,32.98,4.761904762,1.649,4.6
C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,2/5/2019,10:41,Credit card,294.63,4.761904762,14.7315,7.8
B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,2/15/2019,12:44,Cash,509.88,4.761904762,25.494,8.4
A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,1/19/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3
C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,2/1/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,3/2/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1
B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,3/5/2019,12:29,Ewallet,109.7,4.761904762,5.485,5.3
B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,1/16/2019,15:26,Ewallet,51.36,4.761904762,2.568,5.2
A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,2/2/2019,20:48,Ewallet,109.6,4.761904762,5.48,6
B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,1/20/2019,20:38,Ewallet,106.88,4.761904762,5.344,4.1
A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,2/14/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2
C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,1/12/2019,12:02,Credit card,399.84,4.761904762,19.992,6.5
B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,3/9/2019,17:26,Credit card,899.64,4.761904762,44.982,4.2
C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,3/13/2019,19:52,Credit card,511.28,4.761904762,25.564,4.6
B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,3/9/2019,14:57,Ewallet,451.76,4.761904762,22.588,7.3
A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,3/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5
A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,1/27/2019,13:26,Cash,161.25,4.761904762,8.0625,9
C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,1/8/2019,16:17,Credit card,285.57,4.761904762,14.2785,5.9
C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,1/8/2019,15:57,Ewallet,548.32,4.761904762,27.416,8.5
B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,2/8/2019,11:15,Ewallet,812.52,4.761904762,40.626,7.2
B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,1/25/2019,13:18,Cash,277.34,4.761904762,13.867,7.5
A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,3/6/2019,20:34,Cash,552.78,4.761904762,27.639,8.3
B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,2/10/2019,18:36,Cash,139.36,4.761904762,6.968,7.4
B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,2/17/2019,14:40,Credit card,524.7,4.761904762,26.235,8.8
C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,3/8/2019,16:43,Ewallet,487.8,4.761904762,24.39,5.3
C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,2/18/2019,19:39,Cash,270.66,4.761904762,13.533,6.2
A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,1/18/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8
A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,2/18/2019,15:39,Cash,206.52,4.761904762,10.326,9.8
B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,2/16/2019,12:21,Cash,519.1,4.761904762,25.955,8.2
A,Yangon,Normal,Male,Sports and travel,72.5,8,29,3/16/2019,19:25,Ewallet,580,4.761904762,29,9.2
C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,1/23/2019,13:00,Credit card,898,4.761904762,44.9,5.4
C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,1/25/2019,13:48,Cash,905,4.761904762,45.25,8.1
C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,2/5/2019,19:57,Cash,686,4.761904762,34.3,9.1
C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,2/22/2019,10:36,Credit card,30.41,4.761904762,1.5205,8.4
A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,1/21/2019,16:37,Ewallet,467.7,4.761904762,23.385,8
C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,3/8/2019,17:11,Credit card,277.56,4.761904762,13.878,9.5
A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,2/10/2019,12:28,Ewallet,301.4,4.761904762,15.07,9.2
C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,3/19/2019,12:46,Credit card,264.56,4.761904762,13.228,5.6
B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,3/6/2019,15:07,Credit card,574.88,4.761904762,28.744,6.2
A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,3/27/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9
B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,3/23/2019,19:20,Credit card,366.16,4.761904762,18.308,4.8
C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,3/11/2019,16:07,Credit card,241.92,4.761904762,12.096,7.3
A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,1/29/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4
C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,2/7/2019,18:23,Ewallet,98.88,4.761904762,4.944,9.9
C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,1/28/2019,13:05,Cash,647.76,4.761904762,32.388,9.3
A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,2/20/2019,15:55,Credit card,461.45,4.761904762,23.0725,9
B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,1/4/2019,19:40,Cash,72.17,4.761904762,3.6085,6.1
B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,3/7/2019,13:58,Ewallet,251.4,4.761904762,12.57,9.7
B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,3/30/2019,14:43,Ewallet,874.98,4.761904762,43.749,6
B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,3/27/2019,19:18,Ewallet,560.34,4.761904762,28.017,10
C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,1/19/2019,19:39,Credit card,345.44,4.761904762,17.272,8.3
A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,2/25/2019,16:21,Cash,63.69,4.761904762,3.1845,6
A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,3/13/2019,19:44,Credit card,320.53,4.761904762,16.0265,7
C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,1/30/2019,19:42,Ewallet,152.8,4.761904762,7.64,6.5
B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,2/20/2019,15:24,Credit card,399,4.761904762,19.95,5.9
B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,2/25/2019,14:12,Ewallet,340.56,4.761904762,17.028,5.6
C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1/16/2019,13:32,Cash,955.8,4.761904762,47.79,4.8
A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,2/8/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7
A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,1/19/2019,16:31,Cash,307.68,4.761904762,15.384,6.5
A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,2/1/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5
A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,1/3/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5
B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,1/26/2019,12:45,Credit card,400.25,4.761904762,20.0125,9.4
C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,3/3/2019,19:17,Cash,166.8,4.761904762,8.34,6.3
B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,1/19/2019,17:34,Credit card,317.34,4.761904762,15.867,9.8
B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,1/18/2019,12:04,Ewallet,158.32,4.761904762,7.916,8.7
A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,3/21/2019,16:21,Ewallet,304.56,4.761904762,15.228,8.8
A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,3/3/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6
C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,2/13/2019,10:50,Credit card,157.57,4.761904762,7.8785,4.8
A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,3/23/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4
C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,1/28/2019,16:47,Ewallet,260.4,4.761904762,13.02,9.9
C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,2/9/2019,10:00,Cash,449.82,4.761904762,22.491,5.7
C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,1/23/2019,11:51,Cash,307.76,4.761904762,15.388,7.7
A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,3/23/2019,10:55,Ewallet,155,4.761904762,7.75,8
C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,1/25/2019,15:00,Ewallet,274.48,4.761904762,13.724,5.7
A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,3/4/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7
B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,3/5/2019,19:46,Ewallet,54.24,4.761904762,2.712,8
B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,3/3/2019,19:00,Ewallet,755.92,4.761904762,37.796,7.5
B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,2/8/2019,10:53,Cash,185.88,4.761904762,9.294,7
A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,2/10/2019,12:50,Ewallet,74.07,4.761904762,3.7035,9.9
C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,1/28/2019,20:50,Credit card,279.24,4.761904762,13.962,5.9
B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,2/11/2019,10:39,Credit card,231.12,4.761904762,11.556,7.2
B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,1/15/2019,13:41,Ewallet,147.04,4.761904762,7.352,4.6
C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,3/16/2019,19:08,Cash,790.2,4.761904762,39.51,9.2
B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,1/26/2019,20:23,Ewallet,102.2,4.761904762,5.11,5.7
A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,3/19/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9
C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,1/13/2019,19:30,Cash,74.29,4.761904762,3.7145,5
C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,3/26/2019,18:03,Cash,87.4,4.761904762,4.37,4.9
A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,3/23/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1
C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,3/12/2019,19:58,Credit card,166,4.761904762,8.3,8.2
C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,2/17/2019,19:57,Credit card,356.95,4.761904762,17.8475,5.5
C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,1/29/2019,10:01,Credit card,114.9,4.761904762,5.745,6.8
B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,3/15/2019,11:57,Cash,229.96,4.761904762,11.498,6.6
C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,1/14/2019,10:02,Cash,429.87,4.761904762,21.4935,9.8
B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,2/6/2019,14:51,Ewallet,259,4.761904762,12.95,8.7
B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,2/15/2019,12:42,Credit card,88.85,4.761904762,4.4425,5.4
A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,1/3/2019,12:02,Ewallet,207.27,4.761904762,10.3635,7.9
C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,1/4/2019,18:19,Credit card,599.85,4.761904762,29.9925,9.7
